11:01:52 | 0.0.0.0 -> 255.255.255.255 | UDP | Len:358
11:02:27 | 0.0.0.0 -> 255.255.255.255 | UDP | Len:330
11:02:31 | 0.0.0.0 -> 255.255.255.255 | UDP | Len:330
11:02:33 | 0.0.0.0 -> 255.255.255.255 | UDP | Len:330
11:02:37 | 0.0.0.0 -> 255.255.255.255 | UDP | Len:330
11:02:51 | 0.0.0.0 -> 255.255.255.255 | UDP | Len:330
11:03:07 | 0.0.0.0 -> 255.255.255.255 | UDP | Len:330
11:03:18 | 0.0.0.0 -> 255.255.255.255 | UDP | Len:330
11:03:20 | 0.0.0.0 -> 255.255.255.255 | UDP | Len:330
11:03:22 | 0.0.0.0 -> 255.255.255.255 | UDP | Len:330
11:03:26 | 0.0.0.0 -> 255.255.255.255 | UDP | Len:330
11:03:34 | 0.0.0.0 -> 255.255.255.255 | UDP | Len:330
11:03:51 | 0.0.0.0 -> 255.255.255.255 | UDP | Len:330
11:04:03 | 0.0.0.0 -> 255.255.255.255 | UDP | Len:330
11:04:05 | 0.0.0.0 -> 255.255.255.255 | UDP | Len:330
11:04:07 | 0.0.0.0 -> 255.255.255.255 | UDP | Len:330
11:04:11 | 0.0.0.0 -> 255.255.255.255 | UDP | Len:330
11:04:20 | 0.0.0.0 -> 255.255.255.255 | UDP | Len:330
11:04:36 | 0.0.0.0 -> 255.255.255.255 | UDP | Len:330
11:04:48 | 0.0.0.0 -> 255.255.255.255 | UDP | Len:330
11:04:50 | 0.0.0.0 -> 255.255.255.255 | UDP | Len:330
11:04:52 | 0.0.0.0 -> 255.255.255.255 | UDP | Len:330
11:04:56 | 0.0.0.0 -> 255.255.255.255 | UDP | Len:330
11:05:04 | 192.168.31.66 -> 192.168.31.255 | UDP | Len:243
11:05:04 | 0.0.0.0 -> 255.255.255.255 | UDP | Len:330
